QC Date,QC Type,Inspector,Year,Method,POINT_X,POINT_Y,River_Mile,Restoration_RM,1000ftbreak,UCC Relate,PW Location,PW Relate,DATE,SPECIES,Survey,REACH,REDD_ID,AGE,REDD_LOC,GRAVEL,INJ_SITE,PRE_SUB,SIDE_SUB,TAIL_SUB,Fish_on_RE,MEASURE,WHY_NOT_ME,DATE_MEA,PRE_in,PIT_in,Tail_in,LENGTH_in,WIDTH_in,Velocity,FLOW_DEVIC,Bomb_ID,START_60,END_60,SEC_60,START_80,END_80,SECS_80,Bomb_vel60,Bomb_vel80,COMMENTS,Survey 2 Age,Survey 3 Age,Survey 4 Age,Survey_5_Age,Survey_6_Age,Survey_7_Age,Survey_8_Age,Survey_9_Age,Date 1,Age 1,Date 2 ,Age 2,Date 3 ,Age 3,Date 4,Age 4,Date 5,Age 5,Date 6,Age 6,Date 7,Age 7,Date 8,Age 8,Date 9,Age 9,Run,Reach,Date, Age,Survey
1/10/2023,,GM,2022,Snorkel,-122.5419408,40.59414822,17.984,14.943,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'1 - 2,'2 - 3,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,,3,,,,,,,,,,10/3/2022,3,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5458257,40.59225139,17.738,14.756,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,"too deep to measure, changed to chn",5,,,,,,,,,,10/24/2022,5,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5460863,40.5911699,17.661,13.987,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'2 - 3,'2 - 3,'2 - 3,,,,,16,22,4,234,84,,,,96000,97956,100,0,0,0,,,,4,4,,,,,,,,,10/3/2022,4,10/24/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5506291,40.58613159,17.196,13.426,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'0.1 - 1,'2 - 3,'0.1 - 1,,,,,,,,,,,,,,,,0,0,0,,,,4,,,,,,,,,,10/24/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5507557,40.58617847,17.193,13.129,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'2 - 3,'2 - 3,'2 - 3,,,,,23,25,15,280,121,,,,98000,99859,100,0,0,0,,,,2,4,,,,,,,,,10/3/2022,2,10/24/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5508227,40.5860487,17.185,12.197,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'2 - 3,'2 - 3,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,,5,,,,,,,,,,10/24/2022,5,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5509381,40.58588267,17.172,11.924,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'1 - 2,'1 - 2,'1 - 2,,,,,8,15,11,160,81,,,,100000,101093,100,0,0,0,,,,4,,,,,,,,,,10/24/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5516214,40.58511406,17.110,11.830,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'3 - 4,'3 - 4,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,5,,,,,,,,,10/3/2022,3,10/24/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5442853,40.58351676,16.634,11.030,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'1 - 2,'4 - 5,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,,4,,,,,,,,,,10/3/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5409405,40.58182338,16.420,10.961,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'0.1 - 1,'3 - 4,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,,,,,,,,,,10/3/2022,3,10/3/2022,,10/24/2022,5,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5408855,40.58175586,16.415,6.335,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'2 - 3,'3 - 4,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,5,,,,,,,,,10/3/2022,3,10/24/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5407736,40.58174961,16.409,4.761,,,8.2,Above,9/19/2022,Chinook,,R1,,2,,Native,,'2 - 3,'2 - 3,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,5,,,,,,,,,10/3/2022,3,10/24/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5166031,40.51047474,10.369,18.570,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'3 - 4,'3 - 4,'1 - 2,,,,,21,19,9,169,133,,,,65000,66685,100,0,0,0,,,,2,4,,,,,,,,,10/6/2022,2,10/27/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5148342,40.5083758,10.146,18.498,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,2,5,,,,,,,,,10/6/2022,2,10/27/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5148478,40.50831712,10.142,18.053,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,Superimposed ,2,5,,,,,,,,,10/6/2022,2,10/27/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5147255,40.50834727,10.144,17.673,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,21,26,7,240,159,,,,67000,69330,100,0,0,0,,,,2,3,,,,,,,,,10/6/2022,2,10/27/2022,3,,,,,,,,,,,,,,,,,
