year,stream,passage_estimate,run,adipose_clipped,ladder,lcl,ucl,confidence_interval
1995,battle creek,66,spring,FALSE,NA,NA,NA,NA
1995,clear creek,2,spring,FALSE,NA,NA,NA,NA
1996,battle creek,35,spring,FALSE,NA,NA,NA,NA
1996,clear creek,NA,spring,FALSE,NA,NA,NA,NA
1997,battle creek,107,spring,FALSE,NA,NA,NA,NA
1997,clear creek,NA,spring,FALSE,NA,NA,NA,NA
1998,battle creek,178,spring,FALSE,NA,NA,NA,NA
1998,clear creek,47,spring,FALSE,NA,NA,NA,NA
1999,battle creek,73,spring,FALSE,NA,NA,NA,NA
1999,clear creek,35,spring,FALSE,NA,NA,NA,NA
2000,battle creek,78,spring,FALSE,NA,NA,NA,NA
2000,clear creek,9,spring,FALSE,NA,NA,NA,NA
2001,battle creek,111,spring,FALSE,NA,NA,NA,NA
2001,clear creek,0,spring,FALSE,NA,NA,NA,NA
2002,battle creek,222,spring,FALSE,NA,NA,NA,NA
2002,clear creek,66,spring,FALSE,NA,NA,NA,NA
2003,battle creek,221,spring,FALSE,NA,NA,NA,NA
2003,clear creek,25,spring,FALSE,NA,NA,NA,NA
2004,battle creek,90,spring,FALSE,NA,NA,NA,NA
2004,clear creek,98,spring,FALSE,NA,NA,NA,NA
2005,battle creek,73,spring,FALSE,NA,NA,NA,NA
2005,clear creek,69,spring,FALSE,NA,NA,NA,NA
2006,battle creek,221,spring,FALSE,NA,NA,NA,NA
2006,clear creek,77,spring,FALSE,NA,NA,NA,NA
2007,battle creek,291,spring,FALSE,NA,NA,NA,NA
2007,clear creek,194,spring,FALSE,NA,NA,NA,NA
2008,battle creek,105,spring,FALSE,NA,NA,NA,NA
2008,clear creek,200,spring,FALSE,NA,NA,NA,NA
2009,battle creek,194,spring,FALSE,NA,NA,NA,NA
2009,clear creek,120,spring,FALSE,NA,NA,NA,NA
2010,battle creek,174,spring,FALSE,NA,NA,NA,NA
2010,clear creek,21,spring,FALSE,NA,NA,NA,NA
2011,battle creek,159,spring,FALSE,NA,NA,NA,NA
2011,clear creek,8,spring,FALSE,NA,NA,NA,NA
2012,battle creek,799,spring,FALSE,NA,NA,NA,NA
2012,clear creek,68,spring,FALSE,NA,NA,NA,NA
2013,battle creek,608,spring,FALSE,NA,NA,NA,NA
2013,clear creek,659,spring,FALSE,NA,NA,NA,NA
2014,battle creek,429,spring,FALSE,NA,NA,NA,NA
2014,clear creek,95,spring,FALSE,NA,NA,NA,NA
2015,battle creek,181,spring,FALSE,NA,NA,NA,NA
2015,clear creek,45,spring,FALSE,NA,NA,NA,NA
2016,battle creek,180,spring,FALSE,NA,NA,NA,NA
2016,clear creek,29,spring,FALSE,NA,NA,NA,NA
2017,battle creek,30,spring,FALSE,NA,NA,NA,NA
2017,clear creek,25,spring,FALSE,NA,NA,NA,NA
2018,battle creek,82,spring,FALSE,NA,NA,NA,NA
2018,clear creek,49,spring,FALSE,NA,NA,NA,NA
2019,battle creek,47,spring,FALSE,NA,NA,NA,NA
2019,clear creek,62,spring,FALSE,NA,NA,NA,NA
2020,battle creek,47,spring,FALSE,NA,NA,NA,NA
2020,clear creek,172,spring,FALSE,NA,NA,NA,NA
2021,battle creek,233,spring,FALSE,NA,NA,NA,NA
2021,clear creek,2252,spring,FALSE,NA,NA,NA,NA
2014,deer creek,312,spring,NA,south,269,355,90
2014,deer creek,512,spring,NA,north,463,568,90
