"stream","date","time","count","run","adipose_clipped","sex","passage_direction","viewing_condition","spawning_condition","jack_size","method"
"clear creek","2012-12-17","13:46:00",1,"late fall",FALSE,"male","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","15:37:00",1,"late fall",FALSE,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","18:19:00",1,"late fall",NA,"female","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","18:25:00",1,"late fall",FALSE,"male","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","18:32:00",1,"late fall",NA,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","18:49:00",1,"late fall",NA,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","19:05:00",1,"late fall",NA,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","19:05:00",1,"late fall",NA,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","19:21:00",1,"late fall",FALSE,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","21:04:00",1,"late fall",FALSE,"unknown","up","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","13:50:00",1,"late fall",NA,"unknown","down","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","14:45:00",1,"late fall",NA,"unknown","down","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","16:45:00",1,"late fall",FALSE,"unknown","down","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","17:28:00",1,"late fall",FALSE,"unknown","down","normal","full spawn coloration","no","video"
"clear creek","2012-12-17","21:30:00",1,"late fall",FALSE,"male","down","normal","full spawn coloration","no","video"
"clear creek","2012-12-18","00:34:00",1,"late fall",NA,"unknown","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","01:02:00",1,"late fall",FALSE,"female","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","00:00:00",1,"late fall",NA,"female","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","01:57:00",1,"late fall",FALSE,"male","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","07:01:00",1,"late fall",TRUE,"unknown","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","07:51:00",1,"late fall",NA,"unknown","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","09:20:00",1,"late fall",FALSE,"male","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","13:00:00",1,"late fall",FALSE,"female","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","18:52:00",1,"late fall",FALSE,"male","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","19:06:00",1,"late fall",TRUE,"male","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","20:07:00",1,"late fall",NA,"unknown","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","23:23:00",1,"late fall",NA,"female","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","02:22:00",1,"late fall",TRUE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","07:39:00",1,"late fall",FALSE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","12:48:00",1,"late fall",FALSE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","17:07:00",1,"late fall",FALSE,"unknown","down",NA,"full spawn coloration","yes","video"
"clear creek","2012-12-18","18:57:00",1,"late fall",NA,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-18","23:02:00",1,"late fall",FALSE,"unknown","down",NA,"full spawn coloration","unknown","video"
"clear creek","2012-12-19","13:22:00",1,"late fall",FALSE,"female","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-19","16:28:00",1,"late fall",FALSE,"male","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-19","03:29:00",1,"late fall",FALSE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-19","04:42:00",1,"late fall",FALSE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-19","07:30:00",1,"late fall",TRUE,"female","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-19","15:30:00",1,"late fall",FALSE,"female","down",NA,"full spawn coloration","yes","video"
"clear creek","2012-12-19","20:07:00",1,"late fall",NA,"unknown","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-20","04:14:00",1,"not recorded",NA,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-20","05:32:00",1,"not recorded",NA,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-20","16:45:00",1,"not recorded",NA,"male","up",NA,NA,"no","video"
"clear creek","2012-12-20","17:16:00",1,"not recorded",FALSE,"female","up",NA,NA,"no","video"
"clear creek","2012-12-20","19:52:00",1,"not recorded",FALSE,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-20","02:20:00",1,"not recorded",NA,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-20","20:01:00",1,"not recorded",NA,"male","down",NA,NA,"no","video"
"clear creek","2012-12-21","00:48:00",1,"not recorded",NA,"not recorded","up","normal",NA,NA,"video"
"clear creek","2012-12-21","02:06:00",1,"not recorded",NA,"not recorded","up","normal",NA,NA,"video"
"clear creek","2012-12-21","02:25:00",1,"not recorded",NA,"not recorded","down","normal",NA,NA,"video"
"clear creek","2012-12-27","11:53:00",1,"late fall",FALSE,"male","up",NA,"full spawn coloration","no","video"
"clear creek","2012-12-27","13:57:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-27","14:41:00",1,"not recorded",NA,"female","up",NA,NA,"no","video"
"clear creek","2012-12-27","14:41:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-27","18:04:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-27","18:52:00",1,"not recorded",FALSE,"unknown","up",NA,NA,"no","video"
"clear creek","2012-12-27","19:35:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-27","20:03:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-27","20:03:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-27","21:21:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-27","11:07:00",1,"late fall",NA,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-27","12:39:00",1,"late fall",FALSE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-27","13:42:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","13:50:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","14:40:00",1,"not recorded",NA,"female","down",NA,NA,"no","video"
"clear creek","2012-12-27","17:02:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","19:37:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","20:11:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","20:48:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-27","20:54:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-27","21:06:00",1,"not recorded",FALSE,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","01:14:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:29:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:42:00",1,"not recorded",FALSE,"female","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:42:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","01:44:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","01:46:00",1,"not recorded",FALSE,"female","up",NA,NA,"no","video"
