year_extent,reach_number,river_mile_start,river_mile_end
1999-2006,1,18.1,16
1999-2006,2,16,13
1999-2006,3,13,10.9
1999-2006,4,10.9,8.5
1999-2006,5A,8.5,8.1
1999-2006,5B,8.1,6.5
1999,6,6.5,2.2
2000-2006,6,6.5,1.7
199-2006,UCC RST,8.29,8.29
2006-2020,1,18.29,16.14
2006-2020,2,16.14,13.17
2006-2020,3,13.17,11
2006-2020,4,11,8.59
2006-2020,5A,8.59,8.2
2006-2020,5B,8.2,7.48
2006-2020,5C,7.48,6.54
2006-2020,6A,6.54,3.62
2006-2020,6B,3.62,1.77
2006-2020,7,1.77,0.1
2006-2020,UCC RST,8.42,8.42
2020-2024,1,18.64,16.45
2020-2024,2,16.45,13.5
2020-2024,3,13.5,11.34
2020-2024,4,11.34,8.92
2020-2024,5,8.92,8.52
2020-2024,5B,8.52,7.82
2020-2024,5C,7.82,6.78
2020-2024,6A,6.78,3.92
2020-2024,6B,3.92,1.85
2020-2024,7,1.85,0.18
2020-2024,UCC RST,8.74,8.74
