date,reach
2003-04-21,R1
2003-04-22,R2
2003-04-23,R3
2003-04-24,R4
2003-04-24,R5
2003-04-25,R6
2003-05-09,R1
2003-05-19,R1
2003-05-20,R2
2003-05-21,R3
2003-05-22,R4
2003-05-22,R5
2003-05-23,R6
2003-06-16,R1
2003-06-17,R2
2003-06-18,R3
2003-06-19,R4
2003-06-19,R5
2003-06-20,R6
2003-07-14,R1
2003-07-15,R2
2003-07-16,R3
2003-07-17,R4
2003-07-17,R5
2003-07-18,R6
2003-08-25,R1
2003-08-26,R1
2003-08-27,R2
2003-08-27,R3
2003-08-28,R4
2003-08-28,R5
2003-08-29,R6
2003-09-08,R1
2003-09-09,R2
2003-09-10,R3
2003-09-11,R4
2003-09-11,R5
2003-09-12,R6
2003-09-22,R1
2003-09-23,R2
2003-09-24,R3
2003-09-25,R4
2003-09-25,R5
2003-09-26,R6
2003-10-06,R1
2003-10-07,R2
2003-10-08,R3
2003-10-09,R4
2003-10-10,R5
2003-10-20,R1
2003-10-21,R2
2003-10-22,R3
2003-10-23,R4
2003-10-24,R5
2003-11-04,R1
2003-11-05,R2
2003-11-06,R3
2003-11-07,R4
2003-11-07,R5
2004-01-26,R1
2004-01-27,R2
2004-01-28,R3
2004-01-29,R4
2004-02-11,R6
2004-02-12,R6
2004-04-26,R1
2004-04-27,R2
2004-04-28,R3
2004-04-29,R4
2004-04-29,R5
2004-05-01,R6
2004-05-17,R1
2004-05-18,R2
2004-05-19,R3
2004-05-20,R4
2004-05-20,R5
2004-05-21,R6
2004-06-15,R1
2004-06-15,R2
2004-06-16,R3
2004-06-17,R4
2004-06-17,R5
2004-06-18,R6
2004-07-12,R1
2004-07-13,R2
2004-07-14,R3
2004-07-15,R4
2004-07-15,R5
2004-07-16,R6
2004-08-09,R1
2004-08-10,R2
2004-08-11,R3
2004-08-12,R4
2004-08-12,R5A
2004-08-12,R5B
2004-08-13,R6
2004-08-23,R1
2004-08-24,R2
2004-08-25,R3
2004-08-26,R4
2004-08-26,R5A
2004-08-26,R5B
2004-08-27,R6
2004-09-07,R1
2004-09-07,R2
2004-09-08,R3
2004-09-09,R4
2004-09-09,R5A
2004-09-09,R5B
2004-09-10,R6
2004-09-20,R1
2004-09-21,R2
2004-09-22,R3
2004-09-22,R4
2004-09-23,R5A
2004-09-23,R5B
2004-09-24,R6
2004-10-04,R1
2004-10-07,R2
2004-10-07,R3
2004-10-08,R4
2004-10-08,R5A
2004-10-08,R5B
2004-10-18,R1
2004-10-20,R2
2004-10-21,R3
2004-10-21,R4
2004-10-22,R5A
2004-10-22,R5B
2004-11-01,R1
2004-11-01,R2
2004-11-01,R3
2004-11-02,R4
2004-11-02,R5A
2004-11-02,R5B
2004-11-15,R1
2004-11-16,R2
2004-11-17,R3
2004-11-18,R4
2004-11-18,R5
2004-11-30,R6
2005-05-02,R1
2005-05-03,R2
2005-05-04,R3
2005-05-06,R4
2005-05-06,R5A
2005-05-06,R5B
2005-05-06,R6
2005-05-31,R1
2005-06-01,R2
2005-06-02,R3
2005-06-03,R4
2005-06-03,R5A
2005-06-03,R5B
2005-06-03,R6
2005-06-27,R1
2005-06-28,R2
2005-06-29,R3
2005-06-30,R4
2005-06-30,R5A
2005-06-30,R5B
2005-06-30,R6
2005-07-25,R1
2005-07-26,R2
2005-07-27,R3
2005-07-28,R4
2005-07-28,R5A
2005-07-28,R5B
2005-07-28,R6
2005-08-22,R1
2005-08-23,R2
2005-08-24,R3
2005-08-25,R4
