"date","time_block","brood_year","count","passage_direction","viewing_condition","species","time_passed","sex","spawning_condition","jack_size","adipose_clipped","run"
2013-02-20,"12:00:00",13,1,"up","clear","chinook","12:28:00","female",NA,FALSE,NA,"spring"
2013-02-20,"12:00:00",13,0,"down","clear","chinook","12:28:00","female",NA,FALSE,NA,"spring"
2013-02-23,"20:30:00",13,1,"up","clear","chinook","20:48:00","male",NA,FALSE,FALSE,"spring"
2013-02-23,"20:30:00",13,0,"down","clear","chinook","20:48:00","male",NA,FALSE,FALSE,"spring"
2013-02-26,"05:00:00",13,0,"up","clear","chinook","05:15:00","female",NA,FALSE,FALSE,"spring"
2013-02-26,"05:00:00",13,1,"down","clear","chinook","05:15:00","female",NA,FALSE,FALSE,"spring"
2013-02-26,"05:30:00",13,1,"up","clear","chinook","05:33:00","unknown",NA,FALSE,FALSE,"spring"
2013-02-26,"05:30:00",13,0,"down","clear","chinook","05:33:00","unknown",NA,FALSE,FALSE,"spring"
2013-02-26,"05:30:00",13,1,"up","clear","chinook","05:33:00","unknown",NA,FALSE,NA,"spring"
2013-02-26,"05:30:00",13,0,"down","clear","chinook","05:33:00","unknown",NA,FALSE,NA,"spring"
2013-02-26,"20:00:00",13,1,"up","clear","chinook","20:26:00","unknown",NA,TRUE,FALSE,"spring"
2013-02-26,"20:00:00",13,0,"down","clear","chinook","20:26:00","unknown",NA,TRUE,FALSE,"spring"
2013-02-26,"20:30:00",13,0,"up","clear","chinook","20:37:00","male",NA,FALSE,FALSE,"spring"
2013-02-26,"20:30:00",13,1,"down","clear","chinook","20:37:00","male",NA,FALSE,FALSE,"spring"
2013-03-01,"19:00:00",13,1,"up","clear","chinook","19:20:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-01,"19:00:00",13,0,"down","clear","chinook","19:20:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-03,"21:30:00",13,1,"up","clear","chinook","21:43:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-03,"21:30:00",13,0,"down","clear","chinook","21:43:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-05,"01:30:00",13,0,"up","clear","chinook","01:50:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-05,"01:30:00",13,1,"down","clear","chinook","01:50:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-05,"02:30:00",13,1,"up","clear","chinook","02:50:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-05,"02:30:00",13,0,"down","clear","chinook","02:50:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-05,"22:30:00",13,1,"up","clear","chinook","22:48:00","unknown","fungus, lethargic, wandering, zombie fish; significant tail wear in females to indicate spawning in progress or has been completed",FALSE,NA,"spring"
2013-03-05,"22:30:00",13,0,"down","clear","chinook","22:48:00","unknown","fungus, lethargic, wandering, zombie fish; significant tail wear in females to indicate spawning in progress or has been completed",FALSE,NA,"spring"
2013-03-06,"16:00:00",13,0,"up","clear","chinook","16:25:00","unknown","fungus, lethargic, wandering, zombie fish; significant tail wear in females to indicate spawning in progress or has been completed",FALSE,NA,"spring"
2013-03-06,"16:00:00",13,1,"down","clear","chinook","16:25:00","unknown","fungus, lethargic, wandering, zombie fish; significant tail wear in females to indicate spawning in progress or has been completed",FALSE,NA,"spring"
2013-03-06,"18:30:00",13,0,"up","clear","chinook","18:31:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-06,"18:30:00",13,1,"down","clear","chinook","18:31:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-06,"20:30:00",13,0,"up","clear","chinook","20:33:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-06,"20:30:00",13,1,"down","clear","chinook","20:33:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-06,"22:00:00",13,1,"up","clear","chinook","22:20:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-06,"22:00:00",13,0,"down","clear","chinook","22:20:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-07,"16:30:00",13,1,"up","clear","chinook","16:38:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-07,"16:30:00",13,0,"down","clear","chinook","16:38:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-08,"21:30:00",13,0,"up","clear","chinook","21:49:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,TRUE,"spring"
2013-03-08,"21:30:00",13,1,"down","clear","chinook","21:49:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,TRUE,"spring"
2013-03-08,"23:30:00",13,1,"up","clear","chinook","23:42:00","unknown","fungus, lethargic, wandering, zombie fish; significant tail wear in females to indicate spawning in progress or has been completed",FALSE,NA,"spring"
2013-03-08,"23:30:00",13,0,"down","clear","chinook","23:42:00","unknown","fungus, lethargic, wandering, zombie fish; significant tail wear in females to indicate spawning in progress or has been completed",FALSE,NA,"spring"
2013-03-09,"17:00:00",13,1,"up","clear","chinook","17:04:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-09,"17:00:00",13,0,"down","clear","chinook","17:04:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-09,"21:30:00",13,1,"up","clear","chinook","21:43:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-09,"21:30:00",13,0,"down","clear","chinook","21:43:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-09,"21:30:00",13,0,"up","clear","chinook","21:40:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-09,"21:30:00",13,1,"down","clear","chinook","21:40:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-10,"19:00:00",13,1,"up","clear","chinook","19:22:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-10,"19:00:00",13,0,"down","clear","chinook","19:22:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-11,"14:30:00",13,0,"up","clear","chinook","14:35:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-11,"14:30:00",13,1,"down","clear","chinook","14:35:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,FALSE,"spring"
2013-03-12,"22:00:00",13,0,"up","clear","chinook","22:21:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-12,"22:00:00",13,1,"down","clear","chinook","22:21:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-12,"23:00:00",13,1,"up","clear","chinook","23:10:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-12,"23:00:00",13,0,"down","clear","chinook","23:10:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-12,"23:30:00",13,0,"up","clear","chinook","23:55:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-12,"23:30:00",13,1,"down","clear","chinook","23:55:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-13,"00:30:00",13,1,"up","clear","chinook","00:48:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-13,"00:30:00",13,0,"down","clear","chinook","00:48:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-13,"03:00:00",13,1,"up","clear","chinook","03:01:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-13,"03:00:00",13,0,"down","clear","chinook","03:01:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-13,"10:00:00",13,0,"up","clear","chinook","10:09:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-13,"10:00:00",13,1,"down","clear","chinook","10:09:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-13,"16:00:00",13,0,"up","clear","chinook","16:00:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-13,"16:00:00",13,1,"down","clear","chinook","16:00:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-13,"19:00:00",13,0,"up","clear","chinook","19:22:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,NA,"spring"
2013-03-13,"19:00:00",13,1,"down","clear","chinook","19:22:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,NA,"spring"
2013-03-14,"00:00:00",13,1,"up","clear","chinook","00:16:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-14,"00:00:00",13,0,"down","clear","chinook","00:16:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,TRUE,"spring"
2013-03-15,"01:00:00",13,0,"up","clear","chinook","01:11:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,FALSE,"spring"
2013-03-15,"01:00:00",13,1,"down","clear","chinook","01:11:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,FALSE,"spring"
2013-03-15,"15:30:00",13,1,"up","clear","chinook","15:57:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,TRUE,"spring"
2013-03-15,"15:30:00",13,0,"down","clear","chinook","15:57:00","female","spawning colors, defined kype, some tail wear or small amount sof fungus",TRUE,TRUE,"spring"
2013-03-18,"03:00:00",13,0,"up","clear","chinook","03:28:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-18,"03:00:00",13,1,"down","clear","chinook","03:28:00","unknown","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-20,"16:30:00",13,1,"up","clear","chinook","16:47:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
2013-03-20,"16:30:00",13,0,"down","clear","chinook","16:47:00","male","spawning colors, defined kype, some tail wear or small amount sof fungus",FALSE,NA,"spring"
